"","Or4","Or88","Or54","Or55","Or27","Or26","Or50","Or30","Or25","Or58","Ir40a","Ir87a1","Ir87a2","Ir7j","Ir100a","Or11","Or41","Or79","Or78","Or76","Or36","Or91","Or93","Or47","Or99","Or77","Or32","Or73","Or131","Or51","Or57","Or92","Ir136","Ir137","Ir102","Ir103","Gr1","Gr11","Gr15","Gr19c","Gr19a","Gr30","Gr33a","Gr39h","Gr64","Gr66","Gr67a","Gr74a","Ir21a","Ir64a","Ir75c","Or45","Or9","Or2","Or10","Ir75e","Ir75g","Ir75h","Ir75f","Or69","Or15","Or14","Ir75b","Ir75a","Or31","Or122","Or125","Or6","Or33","Or103","Or95","Or104","Or121","Or105","Or107","Or29","Or71","Or42","Or48","Or130","Or106","Or132","Or63","Or133","Or116","Or64","Ir75i","Or117","Or128","Gr63","Or82","Ir31a1","Or3","Ir108","Ir107","Ir161","Ir31a2","Gr7","Gr10","Gr14","Gr22","Gr23","Gr26","Gr31","Gr32","Gr34","Gr46","Gr62","Gr73","Gr76","Gr77","Ir41n","Or85","Ir41j","Ir93a","Ir41l","Ir41o","Ir41c","Ir41g","Ir41f","Or40","Ir41k","Ir41e","Ir7n","Or16","Or59","Ir75k","Or13","Or44","Ir75d","Or23","Ir41p","Or28","Or100","Or37","Or52","Or80","Or81","Or87","Or20","Or115","Or113","Or24","Or94","Or119","Or43","Or123","Or101","Or97","Or72","Or86","Or110","Or38","Or67","Or102","Or34","Or22","Or112","Gr8","Or118","Or114","Or62","Ir138","Ir141","Or84","Gr80","Gr45","Ir41b","Ir41a","Ir41m","Ir7e","Gr25","Or90","Or111","Ir111","Ir114","Ir117","Ir164","Ir163","Ir162","Ir75l","Ir41d","Gr39g"
"Ir137",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ir102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ir103",0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,1,0,3,0,2,0,1,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,1,0,2,0,1,0,1,0,0,1,0,1,1,0,2,0,0,1,0,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"Gr1",2,6,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,4,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,2,1,0,2,1,0,1,0,0,1,2,1,0,2,2,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,1,2,0,1,0,3,0,0,0,0,2,0,3,0,4,0,0,3,0,1,1,1,5,0,1,2,0,3,1,0,0,0,4,0,2,1,2,1,0,0,0,2,0,0,0,3,0,0,4,0,0,0,5,0,0,0,0,2,1,0,1,0,1,1,1,0,0
"Gr11",0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gr15",2,2,1,0,0,1,11,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,21,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,1,0,0,1,0,0,1,1,0,1,1,1,2,1,0,0,1,0,0,2,0,1,1,0,0,1,4,0,0,1,0,2,1,0,1,3,1,1,0,0,18,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,1,1,1,0,1,0,4,0,1,0,0,0,0,2,0,0,1,2,0,0,3,2,1,6,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Gr19c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gr19a",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gr30",5,7,0,0,2,2,0,1,0,0,0,1,1,0,0,3,0,2,0,0,7,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,1,1,0,0,0,2,5,1,2,3,1,2,2,2,0,2,2,7,0,6,0,9,1,5,1,2,2,0,1,1,1,6,1,0,1,2,5,0,1,0,3,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,2,1,6,0,2,4,4,8,0,8,0,2,1,0,5,3,1,2,1,0,4,4,0,5,0,5,1,4,10,0,0,12,0,7,2,1,0,1,5,6,0,0,5,0,0,1,0,8,0,1,1,0,0,0,11,0,0,4,6,0,0,0,0,4,0,0,2,0,0,0,0,1,0
"Gr33a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gr39h",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gr64",3,4,1,0,2,4,1,0,0,1,0,0,3,0,0,5,1,3,1,0,6,0,0,6,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,6,2,1,1,1,0,0,3,2,0,2,0,2,2,2,0,1,1,2,0,2,0,10,2,4,0,1,2,1,2,0,0,6,2,0,1,1,1,1,1,0,8,2,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,4,0,0,0,1,2,5,5,0,3,0,3,0,0,2,3,0,0,1,0,2,2,0,4,0,4,2,5,8,0,1,10,0,3,0,0,1,0,4,4,1,1,9,1,0,0,0,8,0,0,0,0,0,1,9,0,0,1,7,1,0,0,0,7,0,0,1,0,0,0,0,0,0
"Gr66",2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gr67a",4,3,1,1,2,0,1,0,1,1,0,0,0,0,0,2,0,1,2,0,2,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,2,1,0,0,2,2,2,0,2,0,0,1,0,0,0,1,4,0,1,0,0,1,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,1,0,1,3,0,1,0,1,0,0,4,1,0,0,2,1,2,3,0,5,0,0,0,0,4,1,0,6,0,14,0,0,0,0,9,0,0,0,2,0,1,1,0,4,0,0,2,3,0,0,5,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0
"Gr74a",1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,2,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,1,0,0,1,0,1,2,0,1,0,0,0,2,1,0,1,2,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Ir21a",3,1,0,0,2,1,1,0,0,1,0,0,1,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,2,0,1,1,0,1,1,2,0,3,2,1,2,2,1,1,0,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,2,0,18,0,2,2,0,0,1,2,0,0,0,3,0,0,1,0,3,2,0,3,0,1,0,2,3,0,1,2,0,3,0,0,1,0,3,1,2,2,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Ir64a",19,26,5,0,7,3,6,2,2,1,3,6,6,2,1,25,2,9,4,1,29,8,3,27,2,4,2,0,1,0,2,1,2,2,0,1,0,0,3,0,0,4,0,0,6,1,2,2,2,0,8,7,1,3,9,12,17,8,10,11,5,3,11,3,2,11,7,1,5,35,4,21,14,9,1,6,11,2,5,1,2,19,17,3,3,17,12,1,4,1,8,11,1,2,2,2,6,4,0,0,1,0,1,0,0,3,0,3,5,1,8,1,14,3,8,2,12,15,1,14,0,20,0,0,19,8,6,4,12,1,12,11,2,11,0,15,2,11,50,0,5,30,3,16,1,3,9,0,9,14,2,2,12,5,3,2,1,31,2,1,7,1,0,0,51,1,0,5,32,1,0,0,1,24,0,0,4,0,0,1,2,1,0
"Ir75c",13,11,2,0,4,1,4,1,0,4,1,0,0,0,2,7,0,7,1,2,13,2,1,10,0,2,1,0,1,0,0,0,2,1,0,1,1,0,1,0,0,1,0,0,2,0,0,0,2,8,0,3,2,1,6,5,9,12,3,8,0,2,111,109,2,5,5,6,0,7,2,11,2,5,1,1,3,0,3,1,2,9,5,1,1,3,3,1,0,0,10,4,2,0,0,0,2,0,0,0,0,0,0,4,0,3,1,3,1,0,4,2,5,2,3,6,9,5,0,10,0,16,0,0,9,8,0,0,6,2,2,4,0,3,0,4,0,5,15,1,2,17,1,7,0,2,1,1,6,2,0,0,1,2,1,0,0,14,1,1,2,0,0,0,31,1,0,8,24,0,0,1,0,10,0,0,2,0,0,1,1,0,0
"Or45",7,5,2,1,1,2,2,0,0,0,0,1,0,1,1,10,0,2,0,0,6,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,7,3,0,0,1,1,2,3,2,1,5,0,1,2,2,1,1,1,3,2,4,0,4,2,1,0,0,0,0,3,0,0,6,52,0,0,45,1,0,0,0,2,3,1,0,1,0,0,0,0,1,0,0,0,0,2,1,2,0,1,1,3,1,1,0,2,3,0,3,0,3,0,5,0,0,7,6,0,1,2,1,2,2,0,5,0,1,0,4,11,0,2,3,0,6,0,0,0,0,2,2,0,0,1,0,0,1,1,6,0,0,1,0,1,0,20,0,0,0,2,2,0,1,0,6,0,0,2,0,0,1,0,0,0
"Or9",1,2,1,1,2,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,1,2,0,2,0,2,0,1,3,0,0,1,0,2,0,0,0,1,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Or2",9,12,2,3,6,3,1,0,2,1,0,1,0,0,0,8,0,3,3,0,8,2,1,9,1,1,4,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,3,1,1,0,0,4,9,5,4,5,6,2,0,2,3,1,6,1,3,1,10,1,4,7,3,1,2,4,2,1,0,0,11,2,0,0,2,3,0,1,1,5,2,1,0,1,1,1,1,1,1,0,0,2,0,0,0,1,0,2,1,6,0,6,2,0,4,7,10,1,3,0,8,0,0,5,5,2,0,1,1,5,7,1,3,0,3,0,6,15,0,2,10,0,5,1,0,4,2,7,3,1,0,3,0,1,0,0,5,0,0,2,2,0,1,17,0,0,2,9,0,0,2,0,8,0,0,2,0,0,0,1,0,0
"Or10",8,6,4,2,11,2,1,1,0,1,1,2,2,0,0,8,1,5,1,1,7,2,0,12,2,1,3,0,1,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,6,1,0,4,0,5,5,2,5,5,0,0,3,4,3,4,1,7,1,5,1,8,5,7,2,3,1,1,1,3,0,10,2,3,2,3,5,0,0,1,6,2,3,1,1,7,2,1,0,0,0,0,2,0,0,1,0,1,1,0,3,0,4,0,2,5,11,9,0,2,1,4,1,0,7,6,4,2,6,0,4,6,0,6,0,7,4,6,13,1,4,12,1,5,1,0,0,1,5,3,0,0,6,1,1,0,0,12,0,0,1,0,1,0,18,0,0,0,14,0,0,0,0,10,1,0,3,0,1,0,2,0,0
"Ir75e",9,11,1,0,8,3,3,2,2,2,1,0,3,0,1,9,0,4,5,2,13,6,0,16,0,0,3,0,3,0,1,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0,1,1,1,12,5,2,2,9,5,0,48,8,45,9,1,3,6,4,1,6,4,3,1,11,5,10,8,5,0,4,5,0,4,2,0,8,11,2,6,7,33,2,1,0,10,6,1,2,0,1,1,0,0,1,1,0,1,2,0,3,2,1,3,1,10,0,14,1,1,6,10,10,1,6,0,17,0,1,12,2,0,2,7,2,10,7,0,10,2,9,2,9,25,0,1,18,3,14,0,1,1,1,9,6,0,1,3,2,1,1,1,11,0,0,0,2,0,0,32,1,0,0,25,0,0,0,0,7,1,0,4,0,0,1,0,0,0
"Ir75g",14,11,1,0,5,5,3,1,0,1,0,2,3,0,1,8,4,4,1,1,19,7,2,13,1,1,1,0,2,0,0,1,1,1,0,2,2,0,1,0,1,5,0,0,3,0,0,0,1,17,9,3,0,5,5,48,0,8,42,11,1,1,9,6,1,8,5,5,0,16,4,14,8,10,0,9,4,0,4,2,0,9,10,1,4,9,32,1,1,0,13,4,1,1,0,0,3,4,0,0,0,1,0,2,2,0,0,0,5,1,11,1,7,1,2,8,16,11,0,12,1,16,1,0,16,4,4,4,7,1,10,9,2,10,0,9,2,10,27,0,4,26,6,21,0,1,3,2,11,8,1,4,17,2,0,1,1,16,1,0,3,3,0,0,34,1,0,5,16,1,0,1,0,14,3,0,2,0,0,0,3,0,0
"Ir75h",15,9,3,5,9,1,3,4,3,18,0,2,4,1,0,9,1,4,2,0,10,5,0,13,1,1,3,0,1,3,1,2,3,0,0,0,1,0,1,0,0,1,0,0,2,0,1,1,2,8,12,2,0,4,2,8,8,0,4,5,0,1,12,11,1,6,5,6,3,8,0,12,4,3,0,2,6,2,3,3,1,9,5,2,3,9,3,1,1,0,12,9,2,0,1,1,3,3,0,1,0,1,2,0,0,3,1,1,1,0,4,0,9,2,4,4,16,11,0,12,1,10,0,0,11,7,1,1,8,2,6,9,1,4,0,4,2,6,19,0,3,18,0,7,0,4,4,0,7,5,3,1,4,1,4,1,4,10,0,0,2,2,0,0,31,1,0,6,32,0,0,0,0,5,0,0,1,1,1,0,1,0,0
"Ir75f",4,9,2,1,3,3,2,2,0,0,0,0,0,0,1,4,0,5,0,1,7,3,0,4,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,10,3,1,0,5,5,45,42,4,0,4,0,0,2,1,0,4,3,3,0,6,2,3,7,1,1,3,1,0,1,0,0,1,4,0,2,3,39,0,0,1,5,2,1,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,4,2,5,0,2,1,0,4,1,7,0,2,0,6,1,0,8,2,2,1,0,0,5,1,0,1,0,2,3,4,9,0,3,9,6,4,1,0,1,2,1,1,0,0,3,0,1,0,1,3,0,0,1,2,0,0,12,0,0,2,14,1,0,0,0,4,1,0,0,0,0,0,1,0,0
"Or69",16,15,3,2,8,6,2,0,3,2,0,3,4,0,3,9,1,11,4,1,19,2,1,21,1,4,2,0,1,1,0,2,3,1,0,0,1,1,1,0,0,3,0,0,2,0,1,0,3,11,8,5,1,6,5,9,11,5,4,0,2,2,9,6,2,12,1,5,1,17,0,18,9,11,9,6,5,1,2,2,1,15,8,1,2,9,3,2,1,2,13,10,1,0,0,2,2,3,0,0,1,1,2,4,3,2,1,3,8,3,9,0,9,5,3,3,21,11,3,5,1,15,0,3,9,9,4,1,1,2,12,7,2,15,1,9,2,17,25,0,7,30,0,9,2,1,3,2,13,11,1,1,8,1,2,0,2,24,1,1,3,0,1,0,34,1,0,2,26,1,0,3,0,24,2,0,2,0,0,0,0,0,0
"Or15",1,2,0,0,2,1,0,0,1,0,0,0,1,0,0,4,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,5,0,0,0,2,0,1,1,0,0,2,0,19,1,2,2,3,1,0,0,4,1,1,1,1,0,1,4,1,0,0,1,3,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,2,0,0,0,0,1,0,0,2,0,0,1,1,2,0,3,1,1,4,2,3,0,4,1,0,0,1,2,2,1,0,2,2,2,1,2,2,0,1,1,3,9,0,1,4,0,3,2,0,1,3,2,0,0,0,3,1,0,0,0,4,0,1,0,1,0,0,6,0,0,1,11,1,0,3,0,4,0,0,1,0,0,0,0,0,0
"Or14",2,4,0,0,0,1,2,0,1,0,0,1,2,0,0,1,0,2,1,0,3,0,0,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,1,0,1,3,2,1,0,0,0,3,1,1,0,2,19,0,3,2,1,3,0,1,1,6,1,4,1,1,0,1,6,1,0,2,1,1,2,0,3,2,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,2,2,7,3,1,2,0,4,0,1,5,2,0,0,2,2,4,4,1,2,0,1,0,2,11,0,2,7,0,3,0,1,0,0,5,2,2,0,3,1,0,0,0,3,0,0,0,1,0,0,7,0,0,1,10,0,0,1,0,6,0,0,0,0,0,1,0,0,0
"Ir75b",11,9,3,0,5,1,2,1,0,4,2,1,3,0,0,6,3,6,0,1,13,2,1,12,1,2,0,0,2,0,0,1,0,1,0,0,1,1,2,0,0,2,0,0,2,1,1,1,2,11,111,2,1,2,3,6,9,12,2,9,1,3,0,113,2,7,3,5,1,5,2,11,4,4,0,1,4,2,3,1,1,12,3,1,1,1,2,1,0,0,12,5,1,0,0,1,4,0,0,1,0,2,0,2,0,2,0,1,0,0,4,0,7,3,3,5,13,9,2,8,1,10,0,0,7,9,3,1,3,0,4,4,0,2,0,4,1,4,16,0,1,17,1,4,2,1,0,3,5,6,0,1,4,1,1,0,2,15,0,2,2,0,0,0,33,0,0,8,19,2,0,2,1,8,0,0,2,0,0,2,3,0,0
"Ir75a",12,7,2,0,4,2,1,2,1,5,1,0,0,0,0,8,1,9,1,1,9,2,0,12,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,2,0,1,0,2,3,109,2,1,3,4,4,6,11,1,6,2,2,113,0,3,7,3,5,1,7,3,9,3,7,1,2,3,2,3,2,1,10,6,1,5,5,2,3,0,0,8,4,0,0,0,0,3,1,0,2,0,1,0,2,0,2,1,2,1,1,5,1,5,3,3,4,14,7,0,10,0,10,0,0,7,5,2,0,5,1,3,6,0,6,0,7,1,1,22,1,2,19,1,10,2,2,1,2,8,4,0,0,3,0,1,1,0,16,1,0,1,0,0,0,35,0,1,14,21,0,0,2,0,8,0,0,3,0,0,1,0,0,0
"Or31",3,2,0,0,1,0,0,0,0,0,1,1,1,0,0,6,0,2,0,0,4,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,3,1,1,1,0,2,2,1,2,3,0,1,1,3,0,3,0,4,0,1,0,0,3,0,0,0,0,1,3,0,0,2,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,3,3,0,0,0,4,0,0,3,2,0,1,2,1,1,5,0,2,0,2,0,1,2,1,1,4,0,0,0,0,1,0,1,2,0,1,1,0,0,0,0,2,0,0,1,0,0,0,7,0,0,2,2,0,0,1,0,3,0,0,0,0,0,2,1,1,0
"Or122",8,14,1,3,3,5,1,0,0,1,0,1,4,1,0,6,2,7,3,1,16,5,0,10,0,0,3,0,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,1,0,2,1,1,11,5,1,0,6,4,6,8,6,4,12,3,3,7,7,1,0,0,6,2,8,4,6,50,4,1,5,3,0,4,3,2,3,6,1,5,6,5,0,2,0,8,1,3,1,0,3,0,1,0,1,0,0,0,1,0,2,0,2,5,0,7,0,2,0,0,6,16,8,0,7,1,8,1,0,10,7,1,1,3,2,6,9,1,7,0,4,3,7,21,1,1,14,0,11,2,1,3,1,12,7,0,1,8,0,2,0,2,8,2,1,3,0,0,0,25,0,0,1,22,0,0,1,0,8,1,0,3,0,0,0,2,0,0
"Or125",6,4,0,0,0,1,0,0,0,1,0,1,1,0,0,4,1,3,0,1,9,3,2,11,1,1,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,2,0,0,1,0,1,1,0,7,5,1,0,1,1,4,5,5,3,1,1,0,3,3,1,0,0,6,0,33,4,6,3,1,0,0,3,1,3,0,2,8,6,0,1,5,5,1,1,1,5,2,0,2,0,1,2,2,0,0,0,0,0,1,1,0,1,1,3,1,2,0,1,2,1,6,9,7,0,6,0,5,0,0,3,2,1,0,4,1,6,4,2,2,0,5,0,8,13,0,2,5,1,6,1,0,5,0,2,2,0,0,2,1,6,0,0,5,0,0,1,0,0,0,9,0,0,3,10,1,0,1,0,1,0,0,1,0,0,1,0,1,0
"Or6",12,9,8,4,8,5,1,3,2,2,0,2,3,0,1,11,5,7,0,0,13,2,0,12,0,1,2,0,2,3,1,0,2,0,0,1,0,0,0,0,0,7,1,0,2,0,0,2,1,1,6,3,0,3,7,3,5,6,3,5,0,1,5,5,3,6,6,0,0,10,1,11,5,6,2,5,46,3,3,0,1,10,4,3,2,7,3,0,0,0,61,4,3,0,0,3,2,2,1,0,0,0,1,1,0,1,0,0,6,0,6,1,10,0,1,10,11,12,0,6,2,10,1,0,7,5,1,0,6,0,10,8,1,5,0,8,2,13,12,0,1,20,1,8,0,0,3,0,12,6,0,1,6,2,1,0,0,19,1,2,1,3,1,1,31,0,0,5,12,0,0,0,0,15,0,0,1,0,1,1,2,0,0
