"","Or4","Or88","Or54","Or55","Or27","Or26","Or50","Or30","Or25","Or58","Ir40a","Ir87a1","Ir87a2","Ir7j","Ir100a","Or11","Or41","Or79","Or78","Or76","Or36","Or91","Or93","Or47","Or99","Or77","Or32","Or73","Or131","Or51","Or57","Or92","Ir136","Ir137","Ir102","Ir103","Gr1","Gr11","Gr15","Gr19c","Gr19a","Gr30","Gr33a","Gr39h","Gr64","Gr66","Gr67a","Gr74a","Ir21a","Ir64a","Ir75c","Or45","Or9","Or2","Or10","Ir75e","Ir75g","Ir75h","Ir75f","Or69","Or15","Or14","Ir75b","Ir75a","Or31","Or122","Or125","Or6","Or33","Or103","Or95","Or104","Or121","Or105","Or107","Or29","Or71","Or42","Or48","Or130","Or106","Or132","Or63","Or133","Or116","Or64","Ir75i","Or117","Or128","Gr63","Or82","Ir31a1","Or3","Ir108","Ir107","Ir161","Ir31a2","Gr7","Gr10","Gr14","Gr20i","Gr22","Gr23","Gr26","Gr31","Gr32","Gr34","Gr46","Gr62","Gr73","Gr76","Gr77","Ir41n","Or85","Ir41j","Ir93a","Ir41l","Ir41o","Ir41c","Ir41g","Ir41f","Or40","Ir41k","Ir41e","Ir7n","Or16","Or59","Ir75k","Or13","Or44","Ir75d","Or23","Ir41p","Or28","Or100","Or37","Or52","Or80","Or81","Or87","Or20","Or115","Or113","Or24","Or94","Or119","Or43","Or123","Or101","Or97","Or72","Or86","Or110","Or38","Or67","Or102","Or34","Or22","Or112","Gr8","Or118","Or114","Or62","Ir138","Ir141","Or84","Gr80","Gr45","Ir41b","Ir41a","Ir41m","Ir7e","Gr25","Or90","Or111","Ir111","Ir114","Ir117","Ir164","Ir163","Ir162","Ir75l","Ir41d","Gr39g"
"Or6",17,14,9,6,11,6,2,6,3,3,0,2,5,0,1,12,5,10,1,2,14,3,0,16,0,2,5,0,2,4,4,0,2,0,0,1,2,0,0,0,0,8,1,0,3,0,1,2,1,3,6,3,0,4,9,3,9,9,4,6,1,2,5,5,3,9,6,0,0,13,1,17,6,11,2,7,48,3,4,0,1,14,4,4,4,9,6,0,0,0,63,6,3,0,0,4,3,2,1,0,0,0,1,1,2,0,2,0,1,6,2,7,1,11,0,2,12,13,15,0,8,2,12,1,0,9,8,3,0,7,2,12,13,3,5,0,9,3,17,20,0,1,28,1,11,0,1,3,0,15,6,1,4,6,3,1,1,0,24,1,2,1,3,1,1,47,0,0,6,19,1,1,1,0,21,0,0,1,0,1,1,3,0,0
"Or33",2,9,1,0,0,0,1,0,0,0,0,0,2,11,0,2,0,2,0,0,7,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,2,1,1,3,0,1,0,1,1,2,0,2,0,0,0,7,3,5,0,2,0,0,1,0,1,0,0,6,3,0,0,2,3,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,3,0,1,0,1,1,9,3,0,2,0,4,0,4,4,1,1,0,5,0,1,1,0,3,0,1,0,4,6,0,1,3,0,5,1,0,1,0,4,2,2,1,1,0,0,0,0,4,0,0,0,2,0,0,10,0,0,1,4,0,1,1,0,5,0,0,0,0,0,0,1,0,0
"Or103",35,28,6,3,13,8,7,3,4,3,1,11,6,2,0,28,8,18,10,1,46,5,8,60,14,5,10,0,2,5,4,12,6,1,0,4,1,1,2,0,1,9,0,1,2,0,3,2,2,42,8,4,0,10,6,16,21,13,8,18,4,6,6,7,3,11,38,13,7,0,6,29,11,10,9,10,16,4,9,5,2,23,20,3,6,12,8,5,2,3,20,11,3,3,0,2,4,2,1,1,0,1,2,2,1,2,5,2,3,11,2,16,2,19,5,8,22,24,32,3,13,1,28,4,1,32,15,5,3,10,4,20,24,5,20,1,21,1,23,52,1,57,50,1,22,3,2,42,1,27,47,5,4,17,3,22,1,2,34,4,1,43,3,1,0,84,1,0,9,59,2,0,2,0,23,0,1,6,0,1,2,1,1,0
"Or95",10,8,1,1,2,2,1,0,3,0,0,0,0,2,0,5,2,1,2,1,7,34,0,8,0,1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,7,3,1,0,2,2,7,6,0,3,0,2,1,3,4,0,6,4,1,3,6,0,6,3,3,1,2,1,1,2,1,0,5,6,0,0,4,5,0,0,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,4,1,0,7,3,6,0,3,0,4,1,3,8,3,0,0,2,0,5,2,1,3,0,3,1,3,10,0,2,9,0,5,2,0,1,1,5,0,0,0,2,0,0,0,0,6,0,0,0,1,0,1,14,1,0,0,12,1,0,1,0,6,0,0,0,0,0,0,0,1,0
"Or104",41,46,8,6,12,11,8,4,3,3,1,2,7,2,1,20,5,17,6,2,38,4,4,52,1,4,8,0,2,4,2,0,5,0,2,2,3,0,1,0,1,9,0,0,12,2,3,2,6,40,15,5,3,6,12,15,16,14,4,22,1,5,14,14,5,10,6,17,5,29,6,0,12,135,1,17,13,0,7,3,0,30,14,1,3,14,14,4,1,4,36,15,4,4,2,5,7,12,1,0,0,1,2,3,4,0,2,0,1,10,3,12,1,12,8,21,20,35,25,3,20,1,33,1,0,28,11,3,3,18,2,15,20,8,11,1,23,7,39,67,0,7,280,1,25,3,1,3,6,21,13,26,3,21,1,2,4,5,246,2,2,3,5,0,1,87,1,0,17,81,5,0,1,1,215,2,1,4,0,2,3,0,3,0
"Or121",19,15,6,0,7,5,6,4,1,2,0,2,3,0,0,12,4,10,6,0,25,3,0,13,0,1,3,0,3,2,1,0,1,0,0,0,3,0,2,0,0,2,0,0,2,0,0,1,0,17,3,2,0,8,5,12,12,5,8,10,1,1,5,3,1,51,4,6,0,11,3,12,0,5,1,3,4,1,2,3,1,4,8,3,3,6,9,0,2,0,10,5,3,3,1,2,1,2,0,1,0,0,0,1,3,0,0,1,0,4,3,10,0,3,1,1,5,16,11,1,7,1,15,0,0,18,7,5,4,2,2,8,8,0,9,0,12,4,5,34,0,5,20,0,18,3,1,2,3,7,5,2,1,6,1,0,1,3,13,1,2,3,2,0,0,43,0,1,1,23,0,1,1,0,12,0,0,1,0,0,0,2,1,0
"Or105",24,25,5,3,9,5,2,1,2,1,0,1,2,0,0,10,4,10,5,2,20,2,1,25,0,2,7,0,2,2,0,0,2,0,0,1,2,1,0,0,1,6,0,0,4,0,2,1,3,21,6,1,0,5,8,6,11,3,1,14,1,2,4,7,1,6,4,11,2,10,3,135,5,0,2,7,4,2,1,1,1,15,4,3,1,5,4,2,0,2,17,5,0,1,0,1,6,7,0,0,0,2,1,1,3,1,0,1,1,8,4,7,0,7,2,12,9,18,13,2,8,1,24,0,1,18,6,2,2,13,1,8,11,3,5,0,9,3,12,41,0,3,170,1,11,0,1,1,6,10,8,14,2,10,3,0,6,2,144,1,1,3,3,2,0,45,1,0,6,51,2,1,1,0,138,2,0,2,0,1,1,0,1,0
"Or107",3,2,1,0,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,2,1,1,0,1,10,0,0,0,1,0,1,0,2,0,9,1,1,1,2,0,1,1,1,1,0,5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,3,2,4,0,0,0,3,0,1,4,2,0,0,0,1,6,4,0,0,1,1,0,2,2,0,8,2,0,0,0,0,5,0,0,7,1,0,1,0,0,0,0,1,0,0,5,1,2,0,8,0,0,0,4,1,1,0,0,3,0,0,1,0,0,0,0,0,0
"Or29",5,9,1,0,4,4,1,1,3,1,0,1,2,2,0,8,2,12,3,1,11,3,1,8,2,2,1,0,0,1,0,1,2,0,0,0,2,0,1,0,0,3,0,1,1,1,0,2,0,13,2,1,0,3,3,6,11,5,3,8,1,2,3,3,0,8,2,7,0,10,2,17,3,7,1,0,4,0,3,1,0,7,9,1,1,8,5,0,1,1,4,4,0,0,1,1,1,1,0,0,0,0,0,1,2,0,0,0,2,4,0,2,0,3,2,1,1,9,9,0,4,0,10,0,0,11,2,2,2,5,1,3,5,1,4,0,10,0,7,17,0,4,23,0,8,1,1,2,2,9,5,0,0,7,3,2,1,2,19,0,0,2,0,0,0,26,0,0,3,21,0,0,0,0,12,0,1,3,0,0,1,0,1,0
"Or71",92,15,6,3,6,4,4,3,1,1,0,2,6,1,0,18,4,7,4,1,28,4,1,94,0,2,3,0,3,2,1,2,3,0,0,1,2,0,4,0,0,4,0,0,3,1,3,1,0,14,3,1,1,6,1,7,8,7,2,6,6,7,5,3,3,4,3,48,1,16,1,13,4,4,1,4,0,4,1,2,1,17,8,1,1,5,7,1,2,1,74,6,4,0,0,2,4,2,0,0,0,0,0,1,0,1,6,0,1,5,2,13,2,4,1,1,8,7,7,2,10,2,14,0,1,12,9,2,0,6,0,7,11,3,8,0,20,1,13,25,0,3,23,1,12,0,2,3,2,8,8,2,2,9,1,2,2,1,13,2,0,3,1,0,1,39,0,2,3,26,0,1,2,0,12,0,0,4,0,1,2,2,0,0
"Or42",8,3,1,1,3,2,0,0,2,0,0,0,3,0,0,5,33,1,1,0,3,1,1,5,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,2,1,0,0,2,0,2,2,1,2,2,0,0,1,3,0,4,1,0,1,2,1,0,4,0,1,1,1,3,5,1,1,2,1,0,0,0,5,5,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,3,0,2,0,0,2,4,5,1,0,0,2,0,1,2,3,1,0,1,0,1,4,0,2,0,1,0,2,6,0,1,3,0,3,0,0,1,0,0,4,1,2,0,0,0,1,0,3,0,0,0,0,0,0,10,0,0,0,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"Or48",8,8,0,0,3,1,2,0,2,3,0,0,0,1,0,6,0,3,3,0,10,3,2,9,1,1,2,0,1,0,0,2,1,1,0,1,1,0,0,0,0,1,0,0,2,0,1,0,1,6,4,3,1,1,2,4,6,4,1,2,0,0,4,4,0,6,3,4,1,9,2,7,2,1,1,3,1,1,0,0,2,7,5,0,0,7,2,0,0,0,5,8,1,0,0,0,1,3,1,0,0,0,0,2,1,1,1,0,2,0,0,3,0,6,0,2,4,7,6,1,3,0,7,0,0,6,2,1,0,2,2,4,5,0,3,0,7,0,2,14,0,5,12,0,7,1,1,1,1,5,3,2,1,2,0,0,1,0,12,0,0,1,2,1,1,18,0,0,2,7,0,0,1,0,9,0,0,0,0,0,0,0,0,0
"Or130",2,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,4,5,4,4,1,2,1,2,1,2,0,3,0,0,0,5,1,3,3,1,0,1,2,1,0,0,0,0,1,0,28,0,1,11,0,0,2,1,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,3,0,3,0,1,0,1,0,3,1,0,3,0,6,0,0,1,1,1,0,1,0,2,3,2,2,0,0,0,7,4,0,1,5,0,5,0,0,1,0,4,0,1,1,0,0,1,0,2,2,1,0,1,1,0,0,11,0,0,1,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Or106",3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,2,0,0,0,1,1,1,1,2,2,1,1,1,1,0,2,2,1,0,2,0,0,1,1,5,0,1,1,2,0,0,3,1,0,0,1,1,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,2,4,0,1,1,2,0,0,4,1,0,0,0,1,4,2,0,2,0,0,0,2,3,0,3,2,0,4,1,1,2,1,2,0,0,0,1,0,2,1,0,4,0,1,0,0,3,0,9,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Or132",43,28,4,1,15,8,5,2,3,5,1,4,9,1,0,19,4,19,7,1,37,7,3,42,0,5,6,0,1,2,2,3,1,0,0,1,3,0,3,0,0,6,0,0,8,1,4,0,0,30,9,7,2,12,12,14,12,12,1,18,3,3,12,10,3,5,9,14,6,23,5,30,4,15,4,7,17,3,7,0,3,0,16,2,3,13,5,2,0,2,35,13,6,2,0,4,4,4,2,0,0,0,4,5,0,1,3,0,2,4,0,14,0,14,2,6,20,23,19,1,16,1,13,1,1,18,14,8,3,7,1,10,15,7,16,0,20,9,29,53,0,7,38,3,29,2,0,6,4,23,15,3,5,16,3,4,5,2,29,0,1,5,9,2,1,87,2,0,10,44,6,0,2,1,31,2,0,4,0,1,1,4,3,0
"Or63",26,20,4,3,3,6,3,1,1,1,1,4,4,1,0,13,5,13,5,0,9,6,3,31,1,4,4,0,1,1,0,2,4,0,1,0,2,0,1,0,0,1,0,1,3,0,0,3,0,23,5,57,0,3,4,13,11,6,4,9,1,2,4,6,3,8,9,4,3,20,6,14,8,4,0,9,8,5,5,1,1,16,0,1,4,136,7,0,0,0,15,11,2,1,2,1,3,1,0,1,1,0,1,0,1,0,1,2,2,10,1,6,1,10,5,5,7,14,18,0,14,0,20,0,0,16,4,5,1,3,0,14,11,3,11,1,5,8,21,34,1,10,20,0,15,0,0,2,1,6,11,4,3,10,3,3,3,2,19,2,0,2,0,1,0,52,1,0,3,21,4,0,0,1,13,2,1,3,0,0,3,3,1,0
"Or133",3,1,1,0,0,0,0,0,0,0,0,1,3,0,0,4,1,3,1,0,3,0,0,7,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,1,0,0,0,3,3,1,2,0,1,0,1,1,1,0,2,0,4,0,3,0,1,3,3,0,1,1,1,0,0,0,2,1,0,0,0,2,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,2,1,0,2,4,0,0,2,3,0,0,2,1,1,1,26,0,2,4,0,0,0,3,2,2,2,1,0,3,0,0,0,6,0,0,1,0,0,0,1,14,0,1,0,2,0,0,0,0,0,0,10,0,0,2,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"Or116",6,5,0,0,2,1,1,0,0,1,0,0,1,0,0,2,1,3,2,0,1,0,0,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,4,1,0,0,0,4,8,6,4,3,2,0,3,1,5,0,6,1,4,0,6,0,3,3,1,0,1,1,1,0,28,0,3,4,0,0,3,2,12,0,0,2,5,0,0,1,1,1,2,1,0,0,1,1,0,1,0,0,1,1,2,0,2,0,2,0,2,1,5,5,0,4,0,6,0,0,5,2,0,0,2,1,4,4,2,4,0,1,0,5,10,0,1,7,0,5,1,0,1,0,5,1,1,2,2,0,1,0,0,2,1,1,0,0,0,0,16,0,1,4,10,0,0,0,0,6,0,0,2,0,0,1,0,0,0
"Or64",18,18,4,3,2,6,4,1,1,0,2,2,3,3,0,11,3,8,4,0,13,3,1,19,0,2,4,0,0,2,1,2,4,1,0,0,3,0,3,0,1,2,0,1,1,1,0,2,0,21,3,50,0,3,3,8,12,9,4,9,1,2,1,5,2,7,7,9,2,12,4,14,6,5,0,8,5,2,7,0,1,13,136,0,3,0,7,0,0,1,17,12,3,1,1,1,5,3,0,0,0,0,1,0,1,1,3,2,0,10,2,5,1,11,2,3,6,10,11,1,13,0,19,1,1,15,4,4,1,6,1,13,10,4,7,1,6,9,12,26,0,5,17,1,9,0,0,2,0,3,8,2,2,4,2,1,2,4,15,2,0,2,0,2,0,45,1,0,2,24,4,0,1,0,14,1,0,2,0,0,2,3,0,0
"Ir75i",15,14,1,1,3,2,3,1,1,1,1,2,4,1,1,7,1,5,2,1,15,4,0,19,0,0,0,2,1,0,1,1,2,1,0,1,2,0,1,0,0,6,0,0,3,0,2,1,0,17,5,2,0,5,7,37,39,6,43,7,2,3,3,2,2,10,6,6,3,8,5,14,9,4,0,5,7,1,2,1,1,5,7,2,2,7,0,0,0,2,15,6,0,1,1,1,2,3,2,1,0,0,1,0,2,0,1,0,1,5,1,4,0,5,1,4,8,8,9,0,3,0,18,1,0,15,1,1,3,5,1,8,6,2,6,0,6,3,8,25,1,3,25,8,7,0,1,1,1,7,4,1,2,11,3,0,1,2,14,2,0,0,2,1,1,34,1,0,3,19,4,0,0,0,14,1,0,1,0,0,2,0,0,0
"Or117",2,5,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,4,1,1,0,2,0,0,1,3,0,0,1,0,0,5,0,4,0,2,0,0,1,0,0,11,0,2,0,0,12,0,0,0,0,0,3,2,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,3,0,2,0,0,3,0,1,0,2,1,3,3,0,2,0,1,0,4,7,0,0,4,0,3,0,0,1,0,4,0,1,1,2,0,1,0,1,2,1,0,0,1,0,0,4,0,0,0,6,0,0,0,0,5,0,0,1,0,0,1,0,0,0
"Or128",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,1,0,1,2,1,0,1,1,1,0,0,0,2,1,0,0,2,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,4,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,5,0,1,0,2,1,0,1,0,5,0,0,0,0,0,0,0,0,0
"Gr63",0,1,1,0,1,2,1,0,0,0,0,0,0,0,1,2,0,1,2,1,1,0,0,5,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,2,2,0,0,1,1,2,0,0,0,0,0,0,1,0,1,3,1,4,0,2,0,1,1,0,0,0,0,2,0,0,0,1,2,0,0,0,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,2,2,1,3,0,0,0,2,0,0,1,0,2,0,0,0,2,2,0,2,0,2,1,1,3,0,1,6,1,4,0,0,0,0,2,0,2,0,2,0,0,1,0,6,0,0,1,0,0,0,2,0,0,0,5,2,0,0,0,5,1,0,0,0,0,0,0,0,0
"Or82",55,27,13,5,14,9,37,5,2,3,0,3,9,1,5,26,8,16,3,2,28,7,2,129,1,0,9,1,2,9,2,2,3,2,1,1,6,0,18,0,1,4,0,0,9,9,3,3,3,16,10,3,2,5,7,12,17,12,6,16,2,2,12,8,1,12,7,63,2,20,4,36,10,17,2,4,74,5,5,2,4,35,15,3,2,17,15,3,1,2,0,12,58,3,0,5,6,2,0,1,0,1,0,2,0,4,7,1,2,10,2,15,3,13,5,6,50,28,42,0,19,2,32,0,1,24,11,6,2,14,0,20,18,19,15,0,12,41,61,46,0,4,44,2,23,1,2,6,3,17,9,2,2,19,4,6,2,4,34,2,1,4,4,0,1,79,0,0,6,60,22,0,1,0,26,0,0,2,0,1,1,3,0,0
"Ir31a1",20,14,2,1,5,1,1,2,1,6,7,2,8,2,1,18,4,4,2,1,22,3,2,21,0,0,3,0,3,1,0,0,2,0,0,1,3,1,0,0,0,4,0,0,2,1,1,2,1,12,4,4,1,2,2,9,7,11,2,13,3,4,5,5,2,2,4,6,3,11,1,15,5,5,0,4,6,5,8,1,2,13,11,0,5,12,6,2,0,1,12,0,1,1,1,3,44,1,2,1,0,1,1,3,3,1,2,1,2,2,1,12,0,12,2,2,5,17,13,0,7,0,17,1,0,16,8,4,0,0,2,10,13,3,6,1,13,2,5,32,1,7,22,1,11,0,1,3,2,14,6,1,2,9,2,2,1,0,12,0,1,1,2,0,0,46,1,0,4,23,0,0,2,0,13,1,0,0,0,0,0,3,0,0
"Or3",3,3,3,1,3,2,30,1,0,1,0,1,3,0,2,3,2,4,2,0,4,0,0,60,0,0,4,0,0,4,2,0,0,1,1,0,0,0,14,0,1,1,0,0,1,6,0,1,1,3,2,1,0,1,3,2,2,3,1,2,2,1,1,0,1,3,0,3,0,3,0,4,3,0,0,0,4,1,1,2,1,6,2,1,0,3,0,0,0,1,58,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,2,0,3,1,2,3,5,5,4,6,0,3,0,7,0,0,2,4,1,2,2,0,2,6,3,2,0,3,7,8,14,0,1,9,0,2,0,1,2,0,1,2,1,1,4,2,1,0,0,2,0,0,0,1,0,0,18,0,0,0,14,1,0,0,0,3,0,0,0,0,0,0,1,0,0
"Ir108",4,6,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,0,11,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,2,3,2,1,1,2,0,0,0,0,1,1,2,0,0,3,0,4,3,1,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,1,1,3,3,0,2,0,5,0,0,3,0,0,1,1,0,3,2,1,2,0,5,1,3,12,0,0,3,0,3,0,0,2,0,4,2,0,0,3,0,0,0,1,2,0,0,0,1,0,0,13,0,0,1,5,0,0,0,0,3,0,1,1,0,0,0,0,0,0
"Ir107",1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ir161",5,3,1,0,0,0,1,0,1,0,1,0,2,0,0,3,0,0,0,0,13,0,1,8,1,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,1,8,2,0,1,0,4,0,0,1,1,1,3,1,4,1,2,0,5,2,1,3,1,2,0,0,0,0,4,1,1,1,1,1,0,0,1,5,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,2,0,2,1,5,3,0,1,0,5,0,0,7,4,0,1,2,0,4,4,2,2,0,10,2,4,9,1,3,4,1,3,0,0,2,0,2,7,0,1,6,1,1,0,0,2,0,0,2,1,0,0,13,1,0,2,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Ir31a2",10,8,2,2,4,2,3,3,0,1,5,0,4,1,0,8,1,3,3,1,10,1,1,13,0,0,2,0,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,8,4,1,0,2,3,3,7,4,4,2,2,0,6,4,2,1,2,3,0,4,1,7,1,6,0,1,4,1,1,0,0,4,3,0,1,5,2,1,0,1,6,44,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,2,0,0,3,0,1,0,2,3,7,2,0,4,0,11,1,0,10,5,1,1,2,0,2,5,2,1,0,7,1,4,15,0,3,12,4,1,0,2,0,1,5,6,0,2,4,1,0,0,0,11,1,0,0,0,0,0,23,0,0,4,7,0,0,2,0,9,1,0,0,0,1,0,1,0,0
"Gr7",3,3,0,2,0,0,1,0,1,2,0,0,1,0,1,4,1,0,1,0,5,1,1,7,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,2,1,0,6,3,1,4,3,0,1,1,0,1,3,2,0,2,1,12,2,7,0,1,2,1,3,1,0,4,1,0,2,3,3,2,0,1,2,1,2,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,0,2,4,0,2,1,0,3,2,6,0,2,2,4,0,0,1,1,2,1,2,1,2,6,0,4,0,2,0,1,8,0,0,15,2,2,2,0,0,3,3,1,1,1,4,0,1,1,1,13,0,1,0,0,0,0,8,0,0,0,7,0,0,0,0,13,0,0,1,0,0,0,1,0,0
"Gr10",1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,1,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,1,1,0,1,1,0,0,0,2,1,0,1,0,2,0,1,0,0,0,0,5,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"Gr14",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gr20i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gr22",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,3,0,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0
